username|password|question|answer
email232894sd|paSS23423qwe123|First phone number|Answer
goldencoala145|WZj32tWd|First phone number|12345
orangezabra448|bFA3qKC4|First phone number|12345
angrytiger834|tJxr1NdZ|First phone number|12345
blueduck483|S4fIZmRW|First phone number|12345
purpleelephant372|UbW8gDSm|First phone number|12345
bigrabbit364|zLkPSbOr|First phone number|12345
beautifulrabbit553|VcqzQCjA|First phone number|12345
whitefrog180|opKNbrTv|First phone number|12345
happypanda696|fU0s9SgG|First phone number|12345
brownelephant842|gKoQPXyr|First phone number|12345
redduck844|v5EUq8Il|First phone number|12345
ticklishdog864|U7QRXR7v|First phone number|12345
